Venom_ACHE-1	crovir-protein-17118	100	506	0	0	9	514	1	506	0.0	1042	610	506
Venom_ACHE-1	crovir-protein-10883	55.6	477	212	0	38	514	31	507	1.37e-208	591	610	507
Venom_ACHE-1	crovir-protein-13187	40.5	529	282	11	38	557	24	528	2.76e-124	377	610	540
Venom_ACHE-1	crovir-protein-13190	40.3	509	283	9	42	542	39	534	4.15e-124	377	610	565
Venom_ACHE-1	crovir-protein-13194	40.2	525	294	7	35	557	168	674	3.08e-120	371	610	685
Venom_ACHE-1	crovir-protein-13192	39.0	480	251	10	42	514	59	503	4.89e-104	323	610	503
Venom_ACHE-1	crovir-protein-15990	34.1	560	297	19	15	564	5	502	1.27e-75	249	610	513
Venom_ACHE-1	crovir-protein-13195	41.4	348	192	7	96	439	528	867	3.14e-74	254	610	941
Venom_ACHE-1	crovir-protein-1482	31.2	433	231	14	16	437	4	380	1.92e-46	167	610	393
Venom_ACHE-1	crovir-protein-10882	41.7	96	55	1	515	609	4	99	2.92e-21	88.2	610	99
Venom_Ficolin-1	crovir-protein-9182	47.4	662	10	3	1	336	20	669	3.76e-139	409	337	669
Venom_Ficolin-1	crovir-protein-9179	80.1	171	33	1	167	336	12	182	1.03e-100	293	337	182
Venom_Ficolin-1	crovir-protein-2800	44.9	214	112	2	127	334	258	471	5.42e-64	209	337	473
Venom_Ficolin-1	crovir-protein-1324	42.6	265	98	4	125	335	407	671	2.64e-60	204	337	673
Venom_Ficolin-1	crovir-protein-17470	45.3	225	106	7	127	336	218	440	9.80e-56	187	337	444
Venom_Ficolin-1	crovir-protein-4700	39.0	236	115	8	126	335	693	925	3.67e-46	167	337	929
Venom_Ficolin-1	crovir-protein-4565	43.2	176	84	4	175	335	81	255	6.55e-43	148	337	263
Venom_Ficolin-1	crovir-protein-1424	47.4	152	78	2	126	276	281	431	1.26e-41	150	337	485
Venom_Ficolin-1	crovir-protein-5665	38.0	213	92	6	126	335	1103	1278	2.76e-36	138	337	1294
Venom_Ficolin-1	crovir-protein-2135	44.5	128	65	2	167	294	40	161	2.27e-32	119	337	209
Venom_Ficolin-1	crovir-protein-1420	56.8	81	35	0	255	335	12	92	4.91e-28	104	337	97
Venom_Ficolin-1	crovir-protein-16944	42.6	108	58	3	127	231	18	124	1.86e-22	94.7	337	291
Venom_Ficolin-1	crovir-protein-17038	44.2	43	22	1	126	166	165	207	1.52e-05	44.7	337	207
Venom_Ficolin-2	crovir-protein-9182	77.1	340	29	3	34	328	334	669	3.61e-148	431	329	669
Venom_Ficolin-2	crovir-protein-9179	86.0	171	24	0	158	328	12	182	4.51e-112	322	329	182
Venom_Ficolin-2	crovir-protein-1324	42.5	266	98	5	116	327	407	671	2.90e-55	190	329	673
Venom_Ficolin-2	crovir-protein-17470	43.6	225	111	5	118	328	218	440	9.31e-53	179	329	444
Venom_Ficolin-2	crovir-protein-7807	42.1	214	119	4	117	327	266	477	8.21e-49	169	329	479
Venom_Ficolin-2	crovir-protein-4700	39.7	237	113	10	117	327	693	925	2.18e-44	161	329	929
Venom_Ficolin-2	crovir-protein-1424	48.0	152	77	2	117	267	281	431	1.42e-41	150	329	485
Venom_Ficolin-2	crovir-protein-1420	59.8	82	32	1	246	327	12	92	2.39e-26	99.8	329	97
Venom_Ficolin-2	crovir-protein-16944	38.1	113	63	3	118	227	18	126	3.41e-19	85.5	329	291
Venom_3FTx-10	crovir-protein-8023	92.3	78	6	0	16	93	24	101	2.06e-56	168	94	101
Venom_3FTx-10	crovir-protein-8022	80.6	93	16	1	1	93	1	91	4.35e-56	167	94	91
Venom_PDE-1	crovir-protein-8584	99.8	452	1	0	1	452	20	471	0.0	924	453	471
Venom_PDE-1	crovir-protein-9233	36.7	387	220	10	29	395	146	527	1.44e-75	252	453	850
Venom_PDE-1	crovir-protein-14336	31.0	384	247	8	28	396	53	433	4.06e-67	220	453	443
Venom_PDE-1	crovir-protein-568	31.8	428	240	12	8	395	27	442	7.02e-63	210	453	469
Venom_PDE-1	crovir-protein-9232	32.4	336	170	7	27	345	285	580	2.22e-48	175	453	667
Venom_PDE-1	crovir-protein-4873	28.3	442	225	12	27	395	164	586	7.34e-44	164	453	910
Venom_CRISP-1	crovir-protein-8572	96.3	107	4	0	135	241	7	113	1.01e-80	236	242	113
Venom_CRISP-1	crovir-protein-8573	70.5	139	3	1	1	139	94	194	2.46e-61	190	242	196
Venom_CRISP-2	crovir-protein-8572	97.2	107	3	0	135	241	7	113	2.50e-81	238	242	113
Venom_CRISP-2	crovir-protein-8573	72.7	139	0	1	1	139	94	194	1.87e-63	196	242	196
Venom_CRISP-3	crovir-protein-8573	93.2	88	6	0	59	146	1	88	7.72e-60	186	241	196
Venom_CRISP-3	crovir-protein-8572	69.8	106	31	1	135	239	7	112	1.65e-52	165	241	113
Venom_CRISP-3	crovir-protein-11894	36.6	145	79	5	35	169	38	179	1.38e-18	79.7	241	179
Venom_CRISP-3	crovir-protein-11893	30.6	157	86	6	31	169	29	180	1.01e-16	75.9	241	232
Venom_CRISP-4	crovir-protein-8573	86.4	88	12	0	59	146	1	88	1.49e-54	173	241	196
Venom_CRISP-4	crovir-protein-8572	66.0	106	35	1	135	239	7	112	1.23e-49	157	241	113
Venom_CRISP-4	crovir-protein-11893	31.6	155	87	6	31	169	29	180	7.48e-19	81.6	241	232
Venom_CRISP-4	crovir-protein-11894	35.4	147	78	5	35	169	38	179	2.68e-18	79.0	241	179
Venom_NUC-1	crovir-protein-8937	98.0	589	0	1	1	589	107	683	0.0	1152	590	683
Venom_NUC-2	crovir-protein-8937	97.8	589	1	1	1	589	107	683	0.0	1150	590	683
Venom_vQC-1	crovir-protein-9447	99.7	368	1	0	1	368	1	368	3.33e-282	761	369	368
Venom_vQC-1	crovir-protein-1322	48.4	273	102	4	93	365	5	238	6.19e-81	246	369	240
Venom_Vespryn-1	crovir-protein-13215	100	218	0	0	1	218	3	220	2.03e-165	454	219	220
Venom_Vespryn-1	crovir-protein-13219	43.3	164	85	3	55	210	308	471	3.79e-33	123	219	481
Venom_Vespryn-1	crovir-protein-13155	33.5	185	106	4	41	216	372	548	2.04e-24	99.8	219	551
Venom_Vespryn-1	crovir-protein-13139	36.1	169	101	3	55	216	339	507	4.09e-23	95.9	219	510
Venom_Vespryn-1	crovir-protein-2747	30.9	162	106	4	52	207	106	267	2.25e-17	78.2	219	300
Venom_Vespryn-1	crovir-protein-3057	36.8	114	46	4	88	185	315	418	1.15e-15	74.3	219	463
Venom_LAAO-1	crovir-protein-3893	92.5	441	31	1	76	516	7	445	8.08e-304	826	517	445
