crovir-protein-237	Venom_SVSP-7	31.5	222	131	9	7	221	38	245	1.71e-28	100	227	259
crovir-protein-237	Venom_SVSP-5	30.5	220	136	8	7	221	38	245	2.39e-28	100	227	259
crovir-protein-237	Venom_SVSP-12	31.1	219	127	9	12	221	41	244	3.28e-28	100	227	258
crovir-protein-237	Venom_SVSP-4	30.6	219	127	10	14	221	43	247	5.35e-27	97.1	227	264
crovir-protein-237	Venom_SVSP-8	30.4	214	136	7	12	221	41	245	6.80e-27	96.7	227	259
crovir-protein-237	Venom_SVSP-13	32.4	222	128	10	7	221	38	244	1.82e-26	95.5	227	258
crovir-protein-237	Venom_SVSP-2	31.1	222	132	8	9	221	40	249	2.78e-26	95.1	227	263
crovir-protein-237	Venom_SVSP-6	30.3	218	137	8	9	221	40	247	1.97e-25	92.8	227	261
crovir-protein-237	Venom_SVSP-9	28.6	206	133	6	20	221	59	254	1.63e-24	90.5	227	268
crovir-protein-237	Venom_SVSP-11	29.9	221	129	10	12	221	41	246	2.00e-23	87.4	227	260
crovir-protein-237	Venom_SVSP-3	28.8	212	127	9	20	221	50	247	2.14e-23	87.4	227	264
crovir-protein-564	Venom_CTL-4	87.4	103	13	0	1	103	46	148	2.06e-72	204	103	149
crovir-protein-564	Venom_CTL-2	67.0	103	30	1	1	103	44	142	2.53e-51	151	103	143
crovir-protein-568	Venom_PDE-1	31.8	428	240	12	27	442	8	395	1.56e-66	213	469	453
crovir-protein-568	Venom_ENPP6-1	32.1	421	240	13	47	447	23	417	6.88e-55	182	469	439
crovir-protein-876	Venom_LAAO-1	50.0	58	29	0	290	347	48	105	1.29e-11	59.3	863	517
crovir-protein-1221	Venom_KUN-5	39.4	66	37	1	50	115	21	83	6.36e-17	65.1	197	84
crovir-protein-1322	Venom_vQC-2	83.6	268	12	3	5	240	114	381	2.35e-156	432	240	382
crovir-protein-1322	Venom_vQC-1	48.4	273	102	4	5	238	93	365	2.05e-82	243	240	369
crovir-protein-1324	Venom_Ficolin-1	42.6	265	98	4	407	671	125	335	1.17e-64	209	673	337
crovir-protein-1324	Venom_Ficolin-2	42.5	266	98	5	407	671	116	327	6.98e-62	202	673	329
crovir-protein-1420	Venom_Ficolin-1	56.8	81	35	0	12	92	255	335	4.49e-31	104	97	337
crovir-protein-1420	Venom_Ficolin-2	59.8	82	32	1	12	92	246	327	2.14e-30	102	97	329
crovir-protein-1424	Venom_Ficolin-2	48.0	152	77	2	281	431	117	267	3.42e-46	156	485	329
crovir-protein-1424	Venom_Ficolin-1	47.4	152	78	2	281	431	126	276	5.78e-45	153	485	337
crovir-protein-1466	Venom_EXO-2	99.0	388	0	2	1	388	58	441	2.52e-258	699	388	442
crovir-protein-1466	Venom_EXO-3	39.6	169	72	2	241	379	169	337	1.60e-33	120	388	351
crovir-protein-1466	Venom_EXO-1	32.9	73	21	1	241	313	101	145	6.87e-06	38.5	388	212
crovir-protein-1482	Venom_ACHE-1	30.7	436	229	13	4	380	16	437	7.81e-50	169	393	610
crovir-protein-1487	Venom_ADAM28-1	19.9	341	232	12	147	466	105	425	8.56e-10	52.8	525	827
crovir-protein-1487	Venom_SVMP-6	21.3	328	202	15	151	452	102	399	5.26e-09	50.1	525	602
crovir-protein-1487	Venom_SVMP-3	23.0	344	221	14	148	468	99	421	1.44e-08	48.5	525	488
crovir-protein-1487	Venom_SVMP-7	19.5	313	223	12	148	446	99	396	2.54e-07	44.7	525	611
crovir-protein-1487	Venom_SVMP-1	28.7	94	63	2	378	468	329	421	5.82e-07	43.5	525	613
crovir-protein-1662	Venom_PLA2-gIIe	53.4	58	27	0	1	58	24	81	9.53e-21	72.8	118	92
crovir-protein-1662	Venom_PLA2-B1	60.9	46	16	1	13	58	14	57	7.93e-19	68.6	118	116
crovir-protein-1662	Venom_PLA2-F	47.5	59	30	1	1	58	21	79	2.46e-17	65.5	118	146
crovir-protein-1662	Venom_PLA2-C1	46.7	60	29	2	1	60	24	80	9.58e-15	58.5	118	137
crovir-protein-1944	Venom_KUN-1	50.0	52	26	0	107	158	30	81	7.43e-16	61.6	173	81
crovir-protein-2135	Venom_Ficolin-1	44.5	128	65	2	40	161	167	294	2.87e-37	125	209	337
crovir-protein-2362	Venom_SVSP-2	35.5	211	112	9	50	250	52	248	1.31e-30	107	256	263
crovir-protein-2362	Venom_SVSP-1	35.5	211	112	9	50	250	52	248	2.57e-30	106	256	263
crovir-protein-2362	Venom_SVSP-6	33.9	218	116	10	44	250	46	246	1.36e-28	102	256	261
